"child_sex","exposure","tri_out","term","est_ci_head_circumference","N_head_circumference","p_value_head_circumference","p_value_int_head_circumference","est_ci_abdominal_circumference","N_abdominal_circumference","p_value_abdominal_circumference","p_value_int_abdominal_circumference","est_ci_biparietal_diameter","N_biparietal_diameter","p_value_biparietal_diameter","p_value_int_biparietal_diameter","est_ci_femur_length","N_femur_length","p_value_femur_length","p_value_int_femur_length","est_ci_birth_weight","N_birth_weight","p_value_birth_weight","p_value_int_birth_weight","est_ci_birth_length","N_birth_length","p_value_birth_length","p_value_int_birth_length"
"Female","Bisphenol A","US2","continuous"," 0.06 (-0.07; 0.18)",198,"0.4","0.7"," 0.10 (-0.04; 0.24)",199,"0.1","0.2"," 0.01 (-0.12; 0.15)",200,"0.9","0.6"," 0.10 (-0.03; 0.23)",200,"0.1","0.6",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Bisphenol A","US2","continuous"," 0.02 (-0.10; 0.13)",235,"0.8","0.7"," 0.00 (-0.12; 0.12)",234,"1","0.2"," 0.04 (-0.08; 0.17)",235,"0.5","0.6"," 0.02 (-0.10; 0.14)",235,"0.7","0.6",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Bisphenol A","US3","continuous","-0.09 (-0.24; 0.06)",195,"0.2","0.7","-0.02 (-0.17; 0.14)",196,"0.8","0.3"," 0.00 (-0.16; 0.17)",197,"1","0.4"," 0.10 (-0.05; 0.25)",197,"0.2","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Bisphenol A","US3","continuous","-0.05 (-0.23; 0.12)",239,"0.5","0.7"," 0.09 (-0.09; 0.26)",240,"0.3","0.3","-0.11 (-0.28; 0.06)",240,"0.2","0.4"," 0.06 (-0.11; 0.23)",240,"0.5","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Bisphenol A","birth","continuous","-0.15 (-0.29; 0.00)",216,"0.05","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.08 (-0.21; 0.06)",220,"0.3","0.3","-0.06 (-0.20; 0.08)",217,"0.4","0.06"
"Male","Bisphenol A","birth","continuous"," 0.10 (-0.05; 0.25)",250,"0.2","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.04 (-0.11; 0.19)",255,"0.6","0.3"," 0.14 (-0.01; 0.28)",253,"0.06","0.06"
"Female","Bisphenol S","US2","LOD-LOQ","-0.16 (-0.69; 0.36)",8,"0.7","0.7","-0.17 (-0.75; 0.41)",8,"0.8","0.5","-0.17 (-0.70; 0.36)",9,"0.7","0.9"," 0.01 (-0.50; 0.53)",9,"1","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Bisphenol S","US2","LOD-LOQ"," 0.00 (-0.50; 0.49)",10,"1","0.7"," 0.08 (-0.42; 0.59)",10,"0.8","0.5","-0.12 (-0.65; 0.41)",10,"0.6","0.9","-0.23 (-0.73; 0.27)",10,"0.6","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Bisphenol S","US2",">LOQ"," 0.06 (-0.21; 0.32)",39,"0.7","0.8","-0.06 (-0.35; 0.23)",39,"0.8","0.5"," 0.06 (-0.22; 0.34)",39,"0.7","0.4","-0.03 (-0.30; 0.24)",39,"1","0.8",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Bisphenol S","US2",">LOQ"," 0.02 (-0.23; 0.28)",49,"1","0.8"," 0.09 (-0.17; 0.35)",49,"0.8","0.5","-0.13 (-0.40; 0.14)",49,"0.6","0.4"," 0.03 (-0.23; 0.28)",49,"0.6","0.8",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Bisphenol S","US3","LOD-LOQ","-0.08 (-0.33; 0.18)",57,"0.6","0.3"," 0.05 (-0.21; 0.31)",57,"0.9","1"," 0.00 (-0.29; 0.28)",57,"0.5","0.5"," 0.15 (-0.11; 0.40)",57,"0.5","0.9",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Bisphenol S","US3","LOD-LOQ"," 0.11 (-0.13; 0.36)",92,"0.6","0.3"," 0.05 (-0.20; 0.30)",93,"0.9","1"," 0.11 (-0.14; 0.36)",93,"0.7","0.5"," 0.20 (-0.04; 0.44)",93,"0.3","0.9",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Bisphenol S","US3",">LOQ","-0.20 (-0.61; 0.22)",18,"0.6","0.4","-0.06 (-0.49; 0.36)",18,"0.9","0.8"," 0.25 (-0.20; 0.70)",19,"0.5","0.6"," 0.10 (-0.30; 0.51)",19,"0.5","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Bisphenol S","US3",">LOQ"," 0.10 (-0.35; 0.54)",19,"0.6","0.4","-0.04 (-0.49; 0.42)",19,"0.9","0.8"," 0.10 (-0.35; 0.55)",19,"0.7","0.6"," 0.02 (-0.42; 0.46)",19,"0.3","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Bisphenol S","birth","LOD-LOQ","-0.02 (-0.27; 0.23)",66,"1","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.12 (-0.10; 0.35)",66,"0.3","0.7"," 0.15 (-0.08; 0.39)",66,"0.4","0.7"
"Male","Bisphenol S","birth","LOD-LOQ"," 0.16 (-0.06; 0.38)",95,"0.3","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.07 (-0.15; 0.29)",97,"0.8","0.7"," 0.08 (-0.13; 0.28)",96,"0.5","0.7"
"Female","Bisphenol S","birth",">LOQ","-0.02 (-0.40; 0.37)",21,"1","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.13 (-0.46; 0.21)",22,"0.3","0.7"," 0.05 (-0.31; 0.42)",21,"0.4","0.6"
"Male","Bisphenol S","birth",">LOQ"," 0.15 (-0.24; 0.55)",20,"0.3","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.01 (-0.39; 0.40)",20,"0.8","0.7","-0.12 (-0.49; 0.25)",20,"0.5","0.6"
"Female","Triclosan","US2","continuous","-0.02 (-0.08; 0.03)",198,"0.4","0.6","-0.02 (-0.08; 0.04)",199,"0.5","0.6","-0.01 (-0.06; 0.04)",200,"0.7","0.5"," 0.02 (-0.04; 0.07)",200,"0.6","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Triclosan","US2","continuous","-0.01 (-0.06; 0.04)",235,"0.7","0.6"," 0.01 (-0.05; 0.06)",234,"0.8","0.6"," 0.01 (-0.05; 0.07)",235,"0.7","0.5"," 0.02 (-0.03; 0.08)",235,"0.4","0.7",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Triclosan","US3","continuous"," 0.00 (-0.07; 0.06)",195,"0.9","1","-0.04 (-0.11; 0.02)",196,"0.2","1"," 0.01 (-0.06; 0.09)",197,"0.7","1"," 0.01 (-0.05; 0.08)",197,"0.7","0.9",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Triclosan","US3","continuous"," 0.00 (-0.07; 0.07)",239,"0.9","1","-0.05 (-0.12; 0.03)",240,"0.2","1"," 0.02 (-0.06; 0.09)",240,"0.7","1"," 0.00 (-0.07; 0.07)",240,"0.9","0.9",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Triclosan","birth","continuous","-0.01 (-0.08; 0.05)",216,"0.7","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.02 (-0.07; 0.04)",220,"0.6","1"," 0.00 (-0.06; 0.06)",217,"1","1"
"Male","Triclosan","birth","continuous","-0.03 (-0.09; 0.03)",250,"0.4","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-0.07; 0.06)",255,"0.8","1"," 0.01 (-0.05; 0.07)",253,"0.7","1"
"Female","Benzophenone-3","US2","continuous","-0.01 (-0.08; 0.05)",198,"0.8","0.1"," 0.00 (-0.07; 0.07)",199,"1","0.1","-0.05 (-0.12; 0.02)",200,"0.2","0.002","-0.01 (-0.08; 0.05)",200,"0.7","0.06",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Benzophenone-3","US2","continuous"," 0.05 (-0.02; 0.12)",235,"0.1","0.1"," 0.05 (-0.02; 0.13)",234,"0.1","0.1"," 0.10 ( 0.02; 0.17)",235,"0.01","0.002"," 0.06 (-0.01; 0.13)",235,"0.09","0.06",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Benzophenone-3","US3","continuous"," 0.04 (-0.05; 0.12)",195,"0.4","0.2","-0.01 (-0.10; 0.07)",196,"0.8","0.1"," 0.04 (-0.05; 0.14)",197,"0.4","0.5"," 0.02 (-0.06; 0.11)",197,"0.6","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Benzophenone-3","US3","continuous"," 0.09 ( 0.00; 0.18)",239,"0.05","0.2"," 0.07 (-0.02; 0.16)",240,"0.1","0.1"," 0.05 (-0.04; 0.14)",240,"0.2","0.5"," 0.04 (-0.05; 0.12)",240,"0.4","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Benzophenone-3","birth","continuous","-0.03 (-0.12; 0.05)",216,"0.4","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-0.08; 0.06)",220,"0.8","0.5"," 0.01 (-0.07; 0.09)",217,"0.8","0.3"
"Male","Benzophenone-3","birth","continuous"," 0.05 (-0.03; 0.13)",250,"0.2","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.03 (-0.05; 0.11)",255,"0.5","0.5"," 0.07 (-0.01; 0.14)",253,"0.09","0.3"
"Female","Butylparaben","US2","LOD-LOQ"," 0.01 (-0.32;  0.34)",23,"0.7","0.7","-0.07 (-0.43;  0.29)",23,"0.8","0.5"," 0.02 (-0.33;  0.36)",23,"0.3","0.4","-0.05 (-0.38;  0.29)",23,"0.4","0.2",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Butylparaben","US2","LOD-LOQ"," 0.10 (-0.20;  0.39)",33,"0.7","0.7"," 0.12 (-0.18;  0.42)",33,"0.2","0.5"," 0.22 (-0.09;  0.54)",33,"0.3","0.4"," 0.25 (-0.04;  0.55)",33,"0.2","0.2",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Butylparaben","US2",">LOQ","-0.14 (-0.46;  0.19)",24,"0.7","0.6","-0.09 (-0.44;  0.27)",24,"0.8","0.5","-0.27 (-0.61;  0.07)",24,"0.3","0.06","-0.22 (-0.55;  0.11)",24,"0.4","0.1",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Butylparaben","US2",">LOQ","-0.06 (-0.40;  0.28)",23,"0.7","0.6","-0.26 (-0.61;  0.08)",23,"0.2","0.5"," 0.15 (-0.21;  0.51)",23,"0.3","0.06"," 0.11 (-0.23;  0.45)",23,"0.2","0.1",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Butylparaben","US3","LOD-LOQ","-0.10 (-0.39;  0.18)",41,"0.6","0.8","-0.36 (-0.65; -0.08)",41,"F = 3.5 (p-value = 0.03)","0.4","-0.18 (-0.50;  0.14)",41,"0.5","0.7","-0.15 (-0.43;  0.13)",41,"0.2","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Butylparaben","US3","LOD-LOQ","-0.02 (-0.29;  0.26)",61,"1","0.8","-0.12 (-0.40;  0.15)",62,"0.4","0.4","-0.04 (-0.31;  0.24)",62,"1","0.7"," 0.08 (-0.19;  0.35)",62,"0.7","0.4",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Butylparaben","US3",">LOQ","-0.14 (-0.50;  0.23)",22,"0.6","0.6","-0.24 (-0.60;  0.13)",22,"F = 3.5 (p-value = 0.03)","0.2","-0.01 (-0.42;  0.39)",22,"0.5","0.9","-0.28 (-0.64;  0.08)",22,"0.2","0.1",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Butylparaben","US3",">LOQ"," 0.02 (-0.38;  0.41)",25,"1","0.6"," 0.19 (-0.21;  0.59)",25,"0.4","0.2","-0.01 (-0.41;  0.39)",25,"1","0.9"," 0.16 (-0.23;  0.54)",25,"0.7","0.1",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Butylparaben","birth","LOD-LOQ","-0.02 (-0.29;  0.26)",48,"0.4","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.22 (-0.46;  0.02)",48,"F = 3.1 (p-value = 0.05)","0.9","-0.18 (-0.44;  0.08)",48,"0.2","0.5"
"Male","Butylparaben","birth","LOD-LOQ","-0.13 (-0.37;  0.12)",64,"0.2","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.19 (-0.43;  0.05)",66,"0.1","0.9","-0.07 (-0.30;  0.16)",65,"0.8","0.5"
"Female","Butylparaben","birth",">LOQ","-0.24 (-0.58;  0.10)",28,"0.4","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.31 (-0.61; -0.01)",28,"F = 3.1 (p-value = 0.05)","0.04"," 0.11 (-0.21;  0.42)",28,"0.2","0.6"
"Male","Butylparaben","birth",">LOQ","-0.29 (-0.64;  0.05)",27,"0.2","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.19 (-0.15;  0.54)",27,"0.1","0.04"," 0.01 (-0.32;  0.33)",27,"0.8","0.6"
"Female","Ethylparaben","US2","continuous","-0.05 (-0.12; 0.03)",198,"0.2","0.1","-0.05 (-0.13; 0.03)",199,"0.2","0.1","-0.01 (-0.09; 0.07)",200,"0.8","0.4","-0.06 (-0.14; 0.01)",200,"0.1","0.07",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Ethylparaben","US2","continuous"," 0.01 (-0.05; 0.08)",235,"0.7","0.1"," 0.03 (-0.03; 0.10)",234,"0.3","0.1"," 0.02 (-0.05; 0.09)",235,"0.5","0.4"," 0.02 (-0.05; 0.08)",235,"0.6","0.07",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Ethylparaben","US3","continuous"," 0.00 (-0.09; 0.09)",195,"1","0.9"," 0.01 (-0.08; 0.10)",196,"0.8","0.6","-0.01 (-0.11; 0.09)",197,"0.8","0.7","-0.03 (-0.12; 0.06)",197,"0.5","0.3",NA,NA,NA,NA,NA,NA,NA,NA
"Male","Ethylparaben","US3","continuous"," 0.00 (-0.09; 0.10)",239,"1","0.9"," 0.04 (-0.06; 0.14)",240,"0.4","0.6"," 0.03 (-0.07; 0.12)",240,"0.6","0.7"," 0.06 (-0.03; 0.15)",240,"0.2","0.3",NA,NA,NA,NA,NA,NA,NA,NA
"Female","Ethylparaben","birth","continuous","-0.07 (-0.15; 0.01)",216,"0.1","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.05 (-0.13; 0.02)",220,"0.1","0.05"," 0.00 (-0.08; 0.08)",217,"1","0.9"
