"exposure","tri_out","est_ci_head_circumference","N_head_circumference","est_ci_abdominal_circumference","N_abdominal_circumference","est_ci_biparietal_diameter","N_biparietal_diameter","est_ci_femur_length","N_femur_length","est_ci_birth_weight","N_birth_weight","est_ci_birth_length","N_birth_length"
"Bisphenol A","US2"," 0.15 (-0.16; 0.62)",433," 0.14 (-0.25; 0.59)",433," 0.08 (-0.20; 0.53)",435," 0.13 (-0.24; 0.64)",435,NA,NA,NA,NA
"Bisphenol A","US3","-0.28 (-0.89; 0.04)",434," 0.15 (-0.44; 0.62)",436,"-0.25 (-1.13; 0.28)",437," 0.20 (-0.21; 0.74)",437,NA,NA,NA,NA
"Bisphenol A","birth","-0.12 (-0.57; 0.26)",466,NA,NA,NA,NA,NA,NA,"-0.09 (-0.46; 0.34)",475," 0.09 (-0.26; 0.49)",470
"Triclosan","US2","-0.03 (-0.08;  0.01)",433,"-0.04 (-0.12;  0.02)",433," 0.01 (-0.04;  0.07)",435," 0.03 (-0.01;  0.09)",435,NA,NA,NA,NA
"Triclosan","US3","-0.01 (-0.07;  0.05)",434,"-0.08 (-0.17; -0.01)",436," 0.02 (-0.06;  0.11)",437," 0.01 (-0.07;  0.06)",437,NA,NA,NA,NA
"Triclosan","birth","-0.03 (-0.11;  0.04)",466,NA,NA,NA,NA,NA,NA,"-0.02 (-0.08;  0.07)",475," 0.01 (-0.04;  0.07)",470
"Benzophenone-3","US2","0.05 ( 0.00; 0.11)",433,"0.04 (-0.02; 0.11)",433,"0.04 (-0.02; 0.12)",435,"0.04 (-0.03; 0.09)",435,NA,NA,NA,NA
"Benzophenone-3","US3","0.09 ( 0.00; 0.15)",434,"0.04 (-0.06; 0.12)",436,"0.07 (-0.01; 0.14)",437,"0.04 (-0.05; 0.11)",437,NA,NA,NA,NA
"Benzophenone-3","birth","0.01 (-0.06; 0.08)",466,NA,NA,NA,NA,NA,NA,"0.02 (-0.04; 0.07)",475,"0.05 (-0.02; 0.11)",470
"Ethylparaben","US2","-0.03 (-0.09; 0.05)",433," 0.00 (-0.08; 0.11)",433," 0.00 (-0.10; 0.10)",435,"-0.03 (-0.11; 0.07)",435,NA,NA,NA,NA
"Ethylparaben","US3"," 0.00 (-0.08; 0.12)",434," 0.04 (-0.06; 0.18)",436," 0.01 (-0.10; 0.12)",437," 0.03 (-0.08; 0.13)",437,NA,NA,NA,NA
"Ethylparaben","birth","-0.06 (-0.14; 0.04)",466,NA,NA,NA,NA,NA,NA," 0.01 (-0.08; 0.10)",475," 0.00 (-0.08; 0.10)",470
"Methylparaben","US2","0.01 (-0.08; 0.15)",433,"0.09 (-0.01; 0.26)",433,"0.04 (-0.03; 0.19)",435,"0.05 (-0.02; 0.20)",435,NA,NA,NA,NA
"Methylparaben","US3","0.07 (-0.02; 0.15)",434,"0.11 ( 0.03; 0.23)",436,"0.08 (-0.01; 0.19)",437,"0.10 (-0.02; 0.22)",437,NA,NA,NA,NA
"Methylparaben","birth","0.03 (-0.06; 0.10)",466,NA,NA,NA,NA,NA,NA,"0.07 (-0.02; 0.16)",475,"0.03 (-0.07; 0.12)",470
"Propylparaben","US2","-0.02 (-0.06; 0.04)",433,"-0.01 (-0.06; 0.05)",433," 0.01 (-0.04; 0.07)",435," 0.00 (-0.04; 0.06)",435,NA,NA,NA,NA
"Propylparaben","US3"," 0.00 (-0.05; 0.04)",434," 0.01 (-0.06; 0.05)",436,"-0.01 (-0.07; 0.05)",437," 0.00 (-0.05; 0.06)",437,NA,NA,NA,NA
"Propylparaben","birth"," 0.01 (-0.04; 0.05)",466,NA,NA,NA,NA,NA,NA,"-0.03 (-0.08; 0.03)",475,"-0.01 (-0.04; 0.04)",470
