"exposure","tri_out","term","est_ci_head_circumference","N_head_circumference","p_value_head_circumference","est_ci_abdominal_circumference","N_abdominal_circumference","p_value_abdominal_circumference","est_ci_biparietal_diameter","N_biparietal_diameter","p_value_biparietal_diameter","est_ci_femur_length","N_femur_length","p_value_femur_length","est_ci_birth_weight","N_birth_weight","p_value_birth_weight","est_ci_birth_length","N_birth_length","p_value_birth_length"
"Bisphenol A","US2","exp_val"," 0.02 (-0.07; 0.10)",430,"0.7"," 0.03 (-0.06; 0.12)",430,"0.5"," 0.01 (-0.08; 0.10)",432,"0.9"," 0.03 (-0.06; 0.11)",432,"0.5",NA,NA,NA,NA,NA,NA
"Bisphenol A","US3","exp_val","-0.07 (-0.27; 0.12)",171,"0.5","-0.01 (-0.22; 0.19)",173,"0.9"," 0.00 (-0.19; 0.20)",173,"1"," 0.13 (-0.06; 0.32)",173,"0.2",NA,NA,NA,NA,NA,NA
"Bisphenol A","birth","exp_val","-0.06 (-0.23; 0.10)",209,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.02 (-0.14; 0.18)",212,"0.8"," 0.04 (-0.12; 0.19)",210,"0.6"
"Bisphenol S","US2","exp_val>LOQ"," 0.04 (-0.14;  0.22)",87,"0.8"," 0.04 (-0.15;  0.24)",87,"0.9","-0.04 (-0.23;  0.15)",87,"0.7","-0.01 (-0.19;  0.17)",87,"0.9",NA,NA,NA,NA,NA,NA
"Bisphenol S","US2","exp_valLOD-LOQ","-0.08 (-0.43;  0.28)",18,"0.8","-0.04 (-0.42;  0.34)",18,"0.9","-0.15 (-0.52;  0.22)",19,"0.7","-0.09 (-0.45;  0.26)",19,"0.9",NA,NA,NA,NA,NA,NA
"Bisphenol S","US3","exp_val>LOQ","-0.67 (-1.25; -0.09)",11,"F = 2.7 (p-value = 0.07)","-0.24 (-0.85;  0.37)",11,"0.5","-0.30 (-0.87;  0.28)",11,"0.5","-0.06 (-0.63;  0.50)",11,"0.6",NA,NA,NA,NA,NA,NA
"Bisphenol S","US3","exp_valLOD-LOQ","-0.01 (-0.31;  0.28)",57,"F = 2.7 (p-value = 0.07)","-0.14 (-0.45;  0.17)",58,"0.5","-0.11 (-0.41;  0.18)",58,"0.5"," 0.14 (-0.15;  0.42)",58,"0.6",NA,NA,NA,NA,NA,NA
"Bisphenol S","birth","exp_val>LOQ","-0.02 (-0.51;  0.47)",14,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.06 (-0.52;  0.39)",15,"0.9","-0.06 (-0.51;  0.39)",14,"0.5"
"Bisphenol S","birth","exp_valLOD-LOQ"," 0.06 (-0.19;  0.30)",72,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.03 (-0.21;  0.27)",72,"0.9"," 0.12 (-0.11;  0.35)",72,"0.5"
"Triclosan","US2","exp_val","-0.02 (-0.06; 0.02)",430,"0.3","-0.01 (-0.05; 0.03)",430,"0.7"," 0.00 (-0.04; 0.04)",432,"0.9"," 0.01 (-0.02; 0.05)",432,"0.5",NA,NA,NA,NA,NA,NA
"Triclosan","US3","exp_val","-0.05 (-0.12; 0.03)",171,"0.3","-0.07 (-0.15; 0.01)",173,"0.09","-0.05 (-0.13; 0.03)",173,"0.2"," 0.01 (-0.07; 0.08)",173,"0.9",NA,NA,NA,NA,NA,NA
"Triclosan","birth","exp_val","-0.05 (-0.12; 0.02)",209,"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-0.07; 0.06)",212,"0.9"," 0.01 (-0.06; 0.07)",210,"0.8"
"Benzophenone-3","US2","exp_val"," 0.02 (-0.03; 0.06)",430,"0.5"," 0.02 (-0.03; 0.07)",430,"0.4"," 0.02 (-0.03; 0.07)",432,"0.5"," 0.02 (-0.03; 0.07)",432,"0.5",NA,NA,NA,NA,NA,NA
"Benzophenone-3","US3","exp_val"," 0.07 (-0.03; 0.17)",171,"0.2"," 0.06 (-0.04; 0.17)",173,"0.2"," 0.05 (-0.05; 0.15)",173,"0.3"," 0.03 (-0.07; 0.13)",173,"0.5",NA,NA,NA,NA,NA,NA
"Benzophenone-3","birth","exp_val","-0.03 (-0.12; 0.06)",209,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.03 (-0.06; 0.11)",212,"0.5"," 0.06 (-0.02; 0.15)",210,"0.1"
"Butylparaben","US2","exp_val>LOQ","-0.13 (-0.36;  0.10)",47,"0.5","-0.17 (-0.41;  0.08)",47,"0.4","-0.08 (-0.33;  0.16)",47,"0.6","-0.08 (-0.32;  0.15)",47,"0.6",NA,NA,NA,NA,NA,NA
"Butylparaben","US2","exp_valLOD-LOQ"," 0.03 (-0.19;  0.24)",56,"0.5"," 0.03 (-0.20;  0.26)",56,"0.4"," 0.09 (-0.14;  0.32)",56,"0.6"," 0.08 (-0.14;  0.30)",56,"0.6",NA,NA,NA,NA,NA,NA
