"exposure","tri_out","term","est_ci_head_circumference","N_head_circumference","p_value_head_circumference","est_ci_abdominal_circumference","N_abdominal_circumference","p_value_abdominal_circumference","est_ci_biparietal_diameter","N_biparietal_diameter","p_value_biparietal_diameter","est_ci_femur_length","N_femur_length","p_value_femur_length","est_ci_birth_weight","N_birth_weight","p_value_birth_weight","est_ci_birth_length","N_birth_length","p_value_birth_length"
"Bisphenol A","US2","Continuous"," 0.02 (-0.07; 0.10)",433,"0.7"," 0.03 (-0.06; 0.12)",433,"0.5"," 0.01 (-0.08; 0.10)",435,"0.8"," 0.03 (-0.06; 0.12)",435,"0.5",NA,NA,NA,NA,NA,NA
"Bisphenol A","US3","Continuous","-0.07 (-0.19; 0.04)",434,"0.2"," 0.04 (-0.08; 0.15)",436,"0.5","-0.06 (-0.18; 0.06)",437,"0.3"," 0.08 (-0.04; 0.19)",437,"0.2",NA,NA,NA,NA,NA,NA
"Bisphenol A","birth","Continuous","-0.02 (-0.13; 0.08)",466,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.02 (-0.12; 0.08)",475,"0.7"," 0.03 (-0.06; 0.13)",470,"0.5"
"Bisphenol S","US2","LOD-LOQ","-0.08 (-0.43; 0.28)",18,"0.8","-0.04 (-0.42; 0.34)",18,"0.9","-0.15 (-0.52; 0.23)",19,"0.7","-0.09 (-0.45; 0.26)",19,"0.9",NA,NA,NA,NA,NA,NA
"Bisphenol S","US2",">LOQ"," 0.04 (-0.14; 0.21)",88,"0.8"," 0.05 (-0.14; 0.24)",88,"0.9","-0.04 (-0.23; 0.15)",88,"0.7","-0.02 (-0.20; 0.16)",88,"0.9",NA,NA,NA,NA,NA,NA
"Bisphenol S","US3","LOD-LOQ"," 0.04 (-0.13; 0.22)",149,"0.9"," 0.02 (-0.16; 0.20)",150,"1"," 0.06 (-0.13; 0.24)",150,"0.6"," 0.20 ( 0.02; 0.37)",150,"F = 2.5 (p-value = 0.08)",NA,NA,NA,NA,NA,NA
"Bisphenol S","US3",">LOQ","-0.02 (-0.32; 0.27)",37,"0.9","-0.03 (-0.34; 0.28)",37,"1"," 0.16 (-0.15; 0.47)",38,"0.6"," 0.11 (-0.18; 0.41)",38,"F = 2.5 (p-value = 0.08)",NA,NA,NA,NA,NA,NA
"Bisphenol S","birth","LOD-LOQ"," 0.08 (-0.09; 0.24)",161,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.09 (-0.06; 0.25)",163,"0.5"," 0.11 (-0.04; 0.26)",162,"0.4"
"Bisphenol S","birth",">LOQ"," 0.06 (-0.21; 0.34)",41,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.02 (-0.28; 0.24)",42,"0.5"," 0.00 (-0.26; 0.25)",41,"0.4"
"Triclosan","US2","Continuous","-0.02 (-0.06; 0.02)",433,"0.3","-0.01 (-0.05; 0.03)",433,"0.7"," 0.00 (-0.04; 0.04)",435,"0.9"," 0.01 (-0.02; 0.05)",435,"0.5",NA,NA,NA,NA,NA,NA
"Triclosan","US3","Continuous","-0.01 (-0.05; 0.04)",434,"0.8","-0.05 (-0.10; 0.00)",436,"0.04"," 0.01 (-0.04; 0.06)",437,"0.6"," 0.01 (-0.04; 0.05)",437,"0.8",NA,NA,NA,NA,NA,NA
"Triclosan","birth","Continuous","-0.02 (-0.06; 0.03)",466,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-0.05; 0.03)",475,"0.6"," 0.01 (-0.04; 0.05)",470,"0.8"
